"","customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn","Tenure","MonthlySpend","TotalSpend","Attrition"
"6293","0327-WFZSY","Male","No","Yes","Yes",39,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Electronic check",100,3835.55,"No","25-60","95+","2000-4000",0
"6294","7977-HXJKU","Male","No","No","Yes",21,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.6,397,"No","19-24","15-30","<1000",0
"6295","6615-ZGEDR","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.7,19.7,"Yes","< 3","15-30","<1000",1
"6296","7033-CLAMM","Female","No","Yes","Yes",48,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",20.2,1027.25,"No","25-60","15-30","1000-2000",0
"6298","0864-FVJNJ","Female","No","Yes","Yes",64,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","No","Electronic check",113.35,7222.75,"No","60+","95+","6000+",0
"6299","7356-IWLFW","Male","No","Yes","Yes",46,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",80,3769.7,"No","25-60","70-80","2000-4000",0
"6300","9541-PWTWO","Female","No","No","No",52,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",80.95,4233.95,"No","25-60","80-95","4000-6000",0
"6301","3967-VQOGC","Female","No","Yes","Yes",67,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Mailed check",24.9,1680.25,"No","60+","15-30","1000-2000",0
"6302","7872-RDDLZ","Female","Yes","No","No",67,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",54.9,3725.5,"No","60+","45-70","2000-4000",0
"6303","9250-WYPLL","Female","No","No","No",5,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",75.55,413.65,"Yes","3-6","70-80","<1000",1
"6304","6308-CQRBU","Female","No","Yes","No",71,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",109.25,7707.7,"No","60+","95+","6000+",0
"6305","2754-XBHTB","Female","No","No","No",9,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",77.65,714.15,"Yes","7-11","70-80","<1000",1
"6306","1597-LHYNC","Female","Yes","No","No",26,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",95,2497.2,"Yes","25-60","80-95","2000-4000",1
"6307","0186-CAERR","Male","No","No","No",71,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",116.3,8309.55,"No","60+","95+","6000+",0
"6308","3043-SUDUA","Female","No","No","No",32,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",19.9,601.55,"No","25-60","15-30","<1000",0
"6309","5442-BHQNG","Female","No","No","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.35,139.25,"No","< 3","70-80","<1000",0
"6310","2169-RRLFW","Female","No","Yes","No",71,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",25.6,1888.25,"No","60+","15-30","1000-2000",0
"6312","3162-KKZXO","Female","Yes","No","No",55,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",100.15,5409.75,"No","25-60","95+","4000-6000",0
"6313","7055-VKGDA","Male","No","No","No",54,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",105.4,5643.4,"Yes","25-60","95+","4000-6000",1
"6314","0754-UKWQP","Male","No","No","No",2,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.85,197.7,"Yes","< 3","95+","<1000",1
"6315","8873-GLDMH","Female","No","No","No",6,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",73.85,401.3,"No","3-6","70-80","<1000",0
"6316","5696-JVVQY","Female","No","Yes","Yes",48,"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","Two year","Yes","Credit card (automatic)",70.1,3238.4,"No","25-60","70-80","2000-4000",0
"6317","8946-BFWSG","Male","No","Yes","Yes",63,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Mailed check",25.25,1573.05,"No","60+","15-30","1000-2000",0
"6318","7493-TPUWZ","Male","No","No","No",1,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",79.15,79.15,"Yes","< 3","70-80","<1000",1
"6319","0547-HURJB","Male","No","No","Yes",12,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",21.05,235.8,"No","12-18","15-30","<1000",0
"6321","8845-LWKGE","Female","No","Yes","Yes",30,"Yes","No","DSL","No","No","Yes","Yes","Yes","No","One year","Yes","Electronic check",64.5,1985.15,"No","25-60","45-70","1000-2000",0
"6322","1577-HKTFG","Female","No","Yes","No",30,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",19.65,655.85,"Yes","25-60","15-30","<1000",1
"6323","8752-STIVR","Female","No","No","No",4,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",79,303.15,"Yes","3-6","70-80","<1000",1
"6324","0691-NIKRI","Female","No","No","No",40,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",105.95,4335.2,"No","25-60","95+","4000-6000",0
"6325","5022-JNQEQ","Female","No","Yes","Yes",9,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Electronic check",75.85,647.5,"No","7-11","70-80","<1000",0
"6326","4558-FANTW","Female","No","Yes","Yes",17,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No","Month-to-month","No","Electronic check",91.85,1574.45,"Yes","12-18","80-95","1000-2000",1
"6328","3736-BLEPA","Male","No","No","No",28,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","No","One year","Yes","Bank transfer (automatic)",91.25,2483.65,"No","25-60","80-95","2000-4000",0
"6329","4701-LKOZD","Female","No","No","No",70,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",89.75,6367.2,"No","60+","80-95","6000+",0
"6330","6603-QWSPR","Female","No","No","No",46,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",104.4,4904.2,"No","25-60","95+","4000-6000",0
"6331","9921-QFQUL","Female","No","Yes","No",23,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","No","Mailed check",90.15,2044.95,"No","19-24","80-95","2000-4000",0
"6333","4378-MYPGO","Male","No","Yes","Yes",68,"Yes","No","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",105.25,7173.15,"No","60+","95+","6000+",0
"6334","8651-ENBZX","Female","Yes","No","No",60,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",106,6441.4,"Yes","25-60","95+","6000+",1
"6335","4129-LYCOI","Female","No","No","Yes",67,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",104,7039.05,"No","60+","95+","6000+",0
"6336","7798-JVXYM","Female","No","No","No",14,"Yes","No","DSL","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",69.65,921.4,"No","12-18","45-70","<1000",0
"6337","8647-SDTWQ","Male","No","Yes","Yes",57,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.3,4018.35,"No","25-60","70-80","4000-6000",0
"6338","2696-ECXKC","Female","No","Yes","Yes",55,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","No","Mailed check",100.9,5448.6,"No","25-60","95+","4000-6000",0
"6339","2081-KJSQF","Male","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.25,20.25,"No","< 3","15-30","<1000",0
"6340","7623-TRNQN","Male","No","No","Yes",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",49.9,49.9,"Yes","< 3","45-70","<1000",1
"6341","3323-CPBWR","Male","No","No","No",23,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",96.9,2085.45,"No","19-24","95+","2000-4000",0
"6342","9330-IJWIO","Female","No","No","No",13,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.35,1358.85,"Yes","12-18","95+","1000-2000",1
"6343","3384-CTMSF","Male","No","Yes","No",47,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",104.1,5135.15,"No","25-60","95+","4000-6000",0
"6344","0902-RFHOF","Male","No","No","No",38,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.1,730.1,"No","25-60","15-30","<1000",0
"6345","9286-DOJGF","Female","Yes","Yes","No",38,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",74.95,2869.85,"Yes","25-60","70-80","2000-4000",1
"6346","6048-QBXKL","Female","Yes","No","No",2,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",56.55,118.25,"No","< 3","45-70","<1000",0
"6347","9661-MHUMO","Male","Yes","Yes","Yes",1,"Yes","No","DSL","No","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",49.25,49.25,"Yes","< 3","45-70","<1000",1
"6348","7718-RXDGG","Male","No","Yes","No",15,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",68.6,1108.6,"No","12-18","45-70","1000-2000",0
"6349","1025-FALIX","Female","No","No","No",26,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",69.05,1815.65,"No","25-60","45-70","1000-2000",0
"6350","3451-VAWLI","Female","No","Yes","Yes",35,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.7,730.4,"No","25-60","15-30","<1000",0
"6351","3407-QGWLG","Male","No","No","Yes",3,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.05,75.45,"No","3-6","15-30","<1000",0
"6352","1842-EZJMK","Male","No","Yes","Yes",50,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","No","Electronic check",103.7,5071.05,"Yes","25-60","95+","4000-6000",1
"6353","2347-WKKAE","Male","No","Yes","No",42,"Yes","Yes","Fiber optic","Yes","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",94.4,4014.6,"No","25-60","80-95","4000-6000",0
"6354","8735-DCXNF","Male","No","Yes","No",10,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",54.95,568.85,"No","7-11","45-70","<1000",0
"6355","3214-IYUUQ","Female","No","Yes","No",61,"Yes","No","Fiber optic","Yes","Yes","No","Yes","No","Yes","One year","No","Bank transfer (automatic)",93.7,5860.7,"No","60+","80-95","4000-6000",0
"6356","1936-UAFEH","Female","No","No","No",68,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","No","Credit card (automatic)",110.25,7279.35,"No","60+","95+","6000+",0
"6357","3587-PMCOY","Male","No","No","No",10,"Yes","No","Fiber optic","Yes","No","Yes","No","Yes","Yes","One year","Yes","Electronic check",98.9,1064.95,"No","7-11","95+","1000-2000",0
"6358","8079-XRJRS","Male","No","Yes","No",65,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","One year","No","Electronic check",89.75,5769.6,"Yes","60+","80-95","4000-6000",1
"6359","1027-LKKQQ","Female","No","Yes","Yes",72,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",80.45,5886.85,"No","60+","80-95","4000-6000",0
"6360","7148-XZPHA","Male","No","Yes","Yes",55,"Yes","No","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","No","Electronic check",79.4,4238.45,"No","25-60","70-80","4000-6000",0
"6361","8073-IJDCM","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",20.3,20.3,"Yes","< 3","15-30","<1000",1
"6362","5309-TAIKL","Female","No","No","No",7,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","Month-to-month","No","Bank transfer (automatic)",62.8,418.3,"No","7-11","45-70","<1000",0
"6363","6856-RAURS","Female","No","No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",74.9,136.05,"No","< 3","70-80","<1000",0
"6364","8778-LMWTJ","Female","No","No","No",9,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.85,708.2,"No","7-11","70-80","<1000",0
"6365","9717-IOAAF","Male","No","No","Yes",27,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Credit card (automatic)",25.85,788.55,"No","25-60","15-30","<1000",0
"6366","8884-ADFVN","Male","Yes","Yes","No",7,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.95,700.85,"Yes","7-11","95+","<1000",1
"6367","2845-KDHVX","Female","No","Yes","No",64,"Yes","No","DSL","No","Yes","Yes","Yes","No","Yes","Two year","Yes","Mailed check",68.3,4378.8,"No","60+","45-70","4000-6000",0
"6369","2720-WGKHP","Male","Yes","No","No",2,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",94,181.7,"Yes","< 3","80-95","<1000",1
"6370","6734-FQAJX","Male","Yes","No","No",67,"Yes","No","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Electronic check",105.05,7171.7,"No","60+","95+","6000+",0
"6371","2869-ADAWR","Female","No","No","No",45,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.3,4016.85,"Yes","25-60","80-95","4000-6000",1
"6372","1535-VTJOQ","Female","No","No","No",24,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",25.15,553,"No","19-24","15-30","<1000",0
"6373","6368-TZZDT","Male","No","Yes","Yes",4,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.5,96.85,"No","3-6","15-30","<1000",0
"6374","0943-ZQPXH","Male","No","Yes","Yes",44,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",92.95,4122.9,"No","25-60","80-95","4000-6000",0
"6375","1293-BSEUN","Female","No","Yes","Yes",72,"Yes","No","No","No","No","No","No","No","No","Two year","Yes","Mailed check",20.7,1482.3,"No","60+","15-30","1000-2000",0
"6376","9894-EZEWG","Female","No","No","No",1,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.3,74.3,"Yes","< 3","70-80","<1000",1
"6377","1302-TPUBN","Male","No","No","No",66,"Yes","No","No","No","No","No","No","No","No","Two year","No","Bank transfer (automatic)",19.35,1240.8,"No","60+","15-30","1000-2000",0
"6379","0637-UBJRP","Male","No","Yes","Yes",13,"Yes","No","Fiber optic","Yes","No","No","No","No","Yes","Month-to-month","No","Electronic check",84.05,1095.3,"Yes","12-18","80-95","1000-2000",1
"6380","0940-OUQEC","Male","No","No","No",10,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",80.7,788.8,"Yes","7-11","80-95","<1000",1
"6381","2378-VTKDH","Male","Yes","Yes","No",65,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",104.35,6578.55,"No","60+","95+","6000+",0
"6382","0927-CNGRH","Male","No","No","Yes",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.55,19.55,"No","< 3","15-30","<1000",0
"6383","8608-OZTLB","Male","No","Yes","Yes",38,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","No","One year","No","Electronic check",74.05,2802.3,"No","25-60","70-80","2000-4000",0
"6385","1952-DVVSW","Female","No","Yes","No",10,"Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.1,184.4,"No","7-11","15-30","<1000",0
"6386","0702-PGIBZ","Male","No","No","Yes",4,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.7,364.55,"Yes","3-6","95+","<1000",1
"6387","6656-GULJQ","Male","No","Yes","Yes",72,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",83.55,6093.3,"No","60+","80-95","6000+",0
"6388","9853-JFZDU","Female","No","Yes","No",35,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Electronic check",56.85,1861.1,"No","25-60","45-70","1000-2000",0
"6389","1963-VAUKV","Female","No","No","No",1,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.4,20.4,"Yes","< 3","15-30","<1000",1
"6390","3777-XROBG","Female","No","Yes","Yes",58,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",19.55,1079.65,"No","25-60","15-30","1000-2000",0
"6391","6994-FGRHH","Male","No","Yes","Yes",70,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",106.15,7475.1,"No","60+","95+","6000+",0
"6392","4000-VGMQP","Male","No","Yes","Yes",38,"Yes","Yes","DSL","No","Yes","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",78.95,2862.55,"No","25-60","70-80","2000-4000",0
"6394","3466-RITXD","Male","No","No","No",26,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",92.4,2349.8,"No","25-60","80-95","2000-4000",0
"6395","2680-XKKNJ","Female","No","No","No",8,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","No","Bank transfer (automatic)",58.2,469.25,"No","7-11","45-70","<1000",0
"6396","3058-HJCUY","Male","No","Yes","Yes",41,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",102.6,4213.35,"Yes","25-60","95+","4000-6000",1
"6397","2974-GGUXS","Female","Yes","Yes","No",36,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",91.95,3301.05,"No","25-60","80-95","2000-4000",0
"6398","7994-XIRTR","Male","Yes","No","No",54,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","One year","No","Bank transfer (automatic)",65.25,3529.95,"No","25-60","45-70","2000-4000",0
"6399","3259-FDWOY","Male","No","Yes","Yes",71,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Bank transfer (automatic)",106,7723.7,"Yes","60+","95+","6000+",1
"6400","2101-RANCD","Female","No","No","No",55,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.1,4144.9,"No","25-60","70-80","4000-6000",0
"6401","7921-BEPCI","Female","No","No","No",72,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Two year","No","Bank transfer (automatic)",59.75,4265,"No","60+","45-70","4000-6000",0
"6402","0807-ZABDG","Female","No","No","Yes",3,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",55.1,154.65,"Yes","3-6","45-70","<1000",1
"6403","8510-TMWYB","Female","No","Yes","Yes",54,"Yes","Yes","DSL","No","Yes","Yes","No","No","No","Two year","Yes","Bank transfer (automatic)",59.8,3246.45,"No","25-60","45-70","2000-4000",0
"6404","3258-ZKPAI","Male","No","Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",116.6,8337.45,"No","60+","95+","6000+",0
"6405","1428-IEDPR","Male","No","No","No",52,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",109.3,5731.4,"No","25-60","95+","4000-6000",0
"6406","5298-GSTLM","Female","Yes","No","No",60,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",101.4,6176.6,"No","25-60","95+","6000+",0
"6408","6728-CZFEI","Female","No","No","No",15,"Yes","No","DSL","No","No","No","No","Yes","No","One year","No","Mailed check",56.15,931.9,"No","12-18","45-70","<1000",0
"6409","5748-RNCJT","Male","No","No","No",69,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",106.5,7348.8,"Yes","60+","95+","6000+",1
"6410","3653-NCRDJ","Male","No","Yes","Yes",43,"Yes","No","No","No","No","No","No","No","No","One year","Yes","Mailed check",19.2,776.25,"No","25-60","15-30","<1000",0
"6411","6121-TNHBO","Female","Yes","No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","One year","No","Bank transfer (automatic)",83,5243.05,"No","60+","80-95","4000-6000",0
"6412","5119-NZPTV","Male","Yes","Yes","No",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70.1,141.65,"No","< 3","70-80","<1000",0
"6413","6519-ZHPXP","Female","No","Yes","Yes",72,"Yes","No","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",108.3,7679.65,"No","60+","95+","6000+",0
"6414","7739-LAXOG","Female","No","Yes","Yes",32,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",91.05,2954.5,"Yes","25-60","80-95","2000-4000",1
"6415","3472-QPRCH","Male","No","Yes","Yes",40,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",25.25,1006.9,"No","25-60","15-30","1000-2000",0
"6418","9776-CLUJA","Female","Yes","Yes","No",51,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",77.5,3807.35,"Yes","25-60","70-80","2000-4000",1
"6419","2486-WYVVE","Male","No","Yes","No",31,"Yes","Yes","DSL","No","No","Yes","Yes","Yes","Yes","One year","Yes","Mailed check",79.3,2484,"No","25-60","70-80","2000-4000",0
"6420","3865-ZYKAD","Male","Yes","Yes","No",69,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",84.9,5785.65,"No","60+","80-95","4000-6000",0
"6421","1422-DGUBX","Male","No","Yes","No",32,"Yes","Yes","Fiber optic","No","No","No","Yes","No","No","One year","Yes","Electronic check",79.25,2619.15,"No","25-60","70-80","2000-4000",0
"6422","2999-AANRQ","Female","No","No","No",21,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","Two year","No","Credit card (automatic)",71.05,1524.85,"No","19-24","70-80","1000-2000",0
"6423","8668-KNZTI","Male","No","No","No",52,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Electronic check",53.75,2790.65,"No","25-60","45-70","2000-4000",0
"6424","0480-KYJVA","Female","No","Yes","Yes",72,"Yes","Yes","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",24.25,1784.5,"No","60+","15-30","1000-2000",0
"6427","3926-YZVVX","Female","No","No","No",41,"Yes","No","DSL","No","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",50.05,2029.05,"No","25-60","45-70","2000-4000",0
"6428","6000-UKLWI","Male","No","No","No",41,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",20.15,802.35,"No","25-60","15-30","<1000",0
"6429","2079-FBMZK","Female","No","No","No",6,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",69.25,418.4,"Yes","3-6","45-70","<1000",1
"6430","6332-FBZRI","Male","No","Yes","Yes",67,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",69.35,4653.25,"No","60+","45-70","4000-6000",0
"6431","2096-XOTMO","Female","No","Yes","Yes",16,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",19.35,275.9,"No","12-18","15-30","<1000",0
"6432","3266-FTKHB","Male","No","No","No",17,"Yes","No","No","No","No","No","No","No","No","Two year","No","Mailed check",19.15,343.45,"No","12-18","15-30","<1000",0
"6433","8221-EQDGL","Male","No","Yes","No",35,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","No","Mailed check",61,2130.45,"No","25-60","45-70","2000-4000",0
"6434","2346-LOCWC","Female","No","Yes","Yes",58,"Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",20.5,1191.4,"No","25-60","15-30","1000-2000",0
"6435","6608-QQLVK","Male","No","No","No",1,"Yes","No","DSL","No","No","Yes","No","No","No","Month-to-month","Yes","Electronic check",50.5,50.5,"Yes","< 3","45-70","<1000",1
"6437","7560-QJAVJ","Female","No","No","No",70,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",79.6,5589.45,"No","60+","70-80","4000-6000",0
"6438","2995-YWTCD","Female","No","Yes","Yes",19,"Yes","Yes","No","No","No","No","No","No","No","Two year","Yes","Bank transfer (automatic)",24.9,467.7,"No","19-24","15-30","<1000",0
"6439","3551-HUAZH","Male","Yes","No","No",1,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,74.4,"Yes","< 3","70-80","<1000",1
"6440","9137-UIYPG","Female","No","Yes","Yes",35,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",106.9,3756.45,"No","25-60","95+","2000-4000",0
"6441","2809-ZMYOQ","Female","No","No","No",32,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",101.35,3334.9,"No","25-60","95+","2000-4000",0
"6442","5084-OOVCJ","Female","No","Yes","Yes",17,"Yes","No","DSL","Yes","No","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",55.35,920.5,"No","12-18","45-70","<1000",0
"6443","0254-WWRKD","Female","No","Yes","Yes",67,"Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Credit card (automatic)",50.55,3431.75,"No","60+","45-70","2000-4000",0
"6444","7727-SHVZV","Female","No","No","No",9,"Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",19.5,150.35,"No","7-11","15-30","<1000",0
"6445","6302-JGYRJ","Male","No","No","Yes",31,"Yes","Yes","DSL","No","Yes","No","Yes","Yes","Yes","One year","Yes","Mailed check",79.45,2587.7,"Yes","25-60","70-80","2000-4000",1
"6446","5339-PXDVH","Male","No","No","No",4,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","No","Month-to-month","No","Electronic check",90.65,367.95,"No","3-6","80-95","<1000",0
"6447","2205-LPVGL","Male","Yes","Yes","Yes",58,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",89.85,5125.75,"No","25-60","80-95","4000-6000",0
